yyyymmdd,hhmmss,storm#,latstorm,lonstorm,altsnd, latsnd,  lonsnd,  tbot, ttop1, ttop2, ttop3, ttop4, ttop5,  wbot, wtop1, wtop2, wtop3, wtop4, wtop5,dirstm,spdstm,sndang,snddist,suptime,ntime,tor,tordur,torday,outflow
19940409,205903,storm1,  36.972, -98.637,   378, 35.981, -98.335,    10,    50,  6860,  7030,  9900, 12590,    10,    10,    10, 12590, 12590, 12590, 228.5,  10.6,  -124,    113,   0.58, 0.32, -2,   0.0,  2.0,0.0
19940409,233614,storm2,  37.268, -97.363,   305, 36.683, -97.350,    10,    10,   320,   320,   320,  8560,    10,    10,    10,  4800,  8820,  8820, 263.1,  16.4,   -98,     65,   1.65, 0.38,  0,   2.5,  2.0,0.0
19940409,234422,storm2,  37.275, -97.305,   372, 37.170, -97.413,    10,    10,   970,   970,   970, 11670,    10,    10,    10,  8770,  8770,  8770, 263.7,  17.1,  -137,     15,   1.75, 0.40, -1,   0.0,  2.0,0.0
19940410,004132,storm3,  37.290, -97.383,   354, 37.151, -97.417,    10,    10,   590,   590,  9780,  9780,    10,    10,    10,  9780,  9780,  9780, 265.8,  20.3,  -106,     16,   2.14, 0.34, -1,   0.0,  2.0,0.0
19940506,222859,storm1,  36.780, -97.056,   303, 36.404, -96.801,    10,   340,  9000,  9000,  9000,  9000,    10,   340,  6150,  8880,  8880,  8880, 252.7,   4.9,   -83,     48,   1.07, 0.50,  0,   2.5,  1.0,0.0
19940506,224512,storm1,  36.793, -97.008,   305, 36.833, -97.067,    10,   140,  3550,  3550,  5580,  5580,    -1,    -1,    -1,    -1,    -1,    -1, 246.9,   3.0,   112,      7,   1.36, 0.64, -1,   0.0,  1.0,0.0
19940506,224705,storm1,  36.793, -97.008,   299, 36.597, -96.604,    10,   200,  1550,  2580, 12640, 12640,    10,    10,    10,  6590,  7330,  7330, 246.9,   3.0,   -59,     42,   1.36, 0.64, -1,   0.0,  1.0,0.0
19940506,231644,storm1,  36.808, -96.974,   274, 36.290, -96.622,    10,    50,  8920,  8920,  8920,  8920,    10,    50,  8920,  8920,  8920,  8920, 263.1,   1.9,   -70,     66,   1.85, 0.86, -1,   0.0,  1.0,0.0
19940506,232513,storm1,  36.809, -96.965,   335, 36.683, -96.683,    10,   320,   710,  3790,  3790,  3790,    10,   130,   130,   130,   130,   130, 267.3,   2.1,   -32,     29,   1.94, 0.91, -1,   0.0,  1.0,0.0
19940507,000304,storm2,  36.718, -96.872,   274, 36.290, -96.621,    10,   160, 10140, 10140, 10140, 10140,    10,   160, 10000, 10000, 10000, 10000, 330.9,   8.1,     1,     53,   0.78, 0.53,  1,   2.5,  1.0,0.0
